y_test,y_pred
0.475,0.6048634527441745
0.475,0.6048634527441745
0.475,0.6048634527441745
0.475,0.6048634527441745
0.6699999999999999,0.6048634527441745
0.6699999999999999,0.6048634527441745
0.6699999999999999,0.6048634527441745
0.6699999999999999,0.6048634527441745
0.52,0.6048634527441745
0.52,0.6048634527441745
0.52,0.6048634527441745
0.52,0.6048634527441745
0.5700000000000001,0.6048634527441745
0.5700000000000001,0.6048634527441745
0.5700000000000001,0.6048634527441745
0.5700000000000001,0.6048634527441745
0.735,0.6048634527441745
0.735,0.6048634527441745
0.735,0.6048634527441745
0.735,0.6048634527441745
0.8799999999999999,0.6048634527441745
0.8799999999999999,0.6048634527441745
